,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
12404,2015,Property Damage Accident,2015-01-12,POTTER,OTHER,YATES,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12510,2015,Property Damage & Injury Accident,2015-01-12,SHANDAKEN,OTHER,ULSTER,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12517,2015,Property Damage Accident,2015-01-22,GALWAY,OTHER,SARATOGA,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12518,2015,Property Damage Accident,2015-01-15,STILLWATER,OTHER,SARATOGA,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12529,2015,Property Damage Accident,2015-01-21,ARGYLE,OTHER,WASHINGTON,Curve and Grade,Unknown,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12562,2015,Property Damage & Injury Accident,2015-01-27,NEW PALTZ,OTHER,ULSTER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12642,2015,Property Damage & Injury Accident,2015-01-24,RENSSELAERVILLE,OTHER,ALBANY,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12648,2015,Injury Accident,2015-01-16,MENTZ,OTHER,CAYUGA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12690,2015,Property Damage & Injury Accident,2015-01-24,CICERO,OTHER,ONONDAGA,Straight and Grade,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12718,2015,Property Damage Accident,2015-01-27,JERUSALEM,OTHER,YATES,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12774,2015,Property Damage Accident,2015-01-24,MILFORD,OTHER,OTSEGO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12776,2015,Property Damage Accident,2015-01-27,OTSEGO,OTHER,OTSEGO,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12778,2015,Property Damage Accident,2015-01-26,BUTTERNUTS,OTHER,OTSEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12801,2015,Property Damage Accident,2015-01-21,TAYLOR,OTHER,CORTLAND,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12805,2015,Property Damage Accident,2015-01-26,BELFAST,OTHER,ALLEGANY,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12819,2015,Property Damage Accident,2015-01-22,MARBLETOWN,OTHER,ULSTER,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12834,2015,Property Damage & Injury Accident,2015-01-27,PITTSFIELD,OTHER,OTSEGO,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12835,2015,Property Damage & Injury Accident,2015-01-26,PRESTON,OTHER,CHENANGO,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12859,2015,Injury Accident,2015-01-26,SULLIVAN,OTHER,MADISON,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12876,2015,Property Damage Accident,2015-01-12,CLINTON,OTHER,DUTCHESS,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12882,2015,Property Damage Accident,2015-01-26,MAMAKATING,OTHER,SULLIVAN,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12893,2015,Property Damage & Injury Accident,2015-01-26,LISLE,OTHER,BROOME,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12894,2015,Property Damage Accident,2015-01-26,WINDSOR,OTHER,BROOME,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12911,2015,Property Damage Accident,2015-01-26,UNION,OTHER,BROOME,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12918,2015,Property Damage Accident,2015-01-14,HANCOCK,OTHER,DELAWARE,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12932,2015,Property Damage Accident,2015-01-23,ORANGETOWN,OTHER,ROCKLAND,Straight at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12936,2015,Property Damage & Injury Accident,2015-01-18,EAST FISHKILL,OTHER,DUTCHESS,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12942,2015,Property Damage Accident,2015-01-18,PLEASANT VALLEY,OTHER,DUTCHESS,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12945,2015,Property Damage Accident,2015-01-18,PLEASANT VALLEY,OTHER,DUTCHESS,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12946,2015,Property Damage Accident,2015-01-18,VICTORY MILLS/VICTORY,OTHER,SARATOGA,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12948,2015,Property Damage & Injury Accident,2015-01-21,SOUTHEAST,OTHER,PUTNAM,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12960,2015,Injury Accident,2015-01-24,DEERPARK,OTHER,ORANGE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12974,2015,Property Damage Accident,2015-01-18,FLORIDA,OTHER,MONTGOMERY,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12975,2015,Property Damage Accident,2015-01-23,BATH,OTHER,STEUBEN,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12990,2015,Property Damage & Injury Accident,2015-01-26,NORTH SALEM,OTHER,WESTCHESTER,Straight and Level,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12992,2015,Property Damage & Injury Accident,2015-01-26,MONTOUR,OTHER,SCHUYLER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
12999,2015,Property Damage Accident,2015-01-27,COLESVILLE,OTHER,BROOME,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13063,2015,Property Damage Accident,2015-01-18,KINGSBURY,OTHER,WASHINGTON,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13068,2015,Property Damage Accident,2015-01-09,JACKSON,OTHER,WASHINGTON,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13111,2015,Property Damage Accident,2015-01-24,HARTLAND,OTHER,NIAGARA,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13188,2015,Property Damage & Injury Accident,2015-01-18,OVID,OTHER,SENECA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13190,2015,Property Damage Accident,2015-01-26,OVID,OTHER,SENECA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13220,2015,Property Damage Accident,2015-01-24,NEW SCOTLAND,OTHER,ALBANY,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13221,2015,Property Damage Accident,2015-01-28,NEW SCOTLAND,OTHER,ALBANY,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13242,2015,Property Damage & Injury Accident,2015-01-19,MEREDITH,OTHER,DELAWARE,Curve and Grade,Snow,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13243,2015,Property Damage & Injury Accident,2015-01-18,COLCHESTER,OTHER,DELAWARE,Curve and Grade,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13245,2015,Property Damage Accident,2015-01-24,ELLERY,OTHER,CHAUTAUQUA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13260,2015,Property Damage Accident,2015-01-28,PERTH,OTHER,FULTON,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13295,2015,Property Damage Accident,2015-01-25,VICTOR,OTHER,ONTARIO,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13390,2015,Property Damage & Injury Accident,2015-01-25,CLINTON,OTHER,CLINTON,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13414,2015,Property Damage & Injury Accident,2015-01-27,WEST SPARTA,OTHER,LIVINGSTON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13448,2015,Property Damage Accident,2015-01-26,MONTEZUMA,OTHER,CAYUGA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13456,2015,Property Damage Accident,2015-01-27,NASSAU,OTHER,RENSSELAER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13498,2015,Property Damage Accident,2015-01-26,HORSEHEADS,OTHER,CHEMUNG,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13518,2015,Property Damage Accident,2015-01-27,BIG FLATS,OTHER,CHEMUNG,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13525,2015,Property Damage & Injury Accident,2015-01-18,PLATTEKILL,OTHER,ULSTER,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13531,2015,Property Damage Accident,2015-01-18,SHAWANGUNK,OTHER,ULSTER,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13539,2015,Property Damage Accident,2015-01-18,ESOPUS,OTHER,ULSTER,Curve at Hill Crest,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13692,2015,Property Damage Accident,2015-01-30,NEWBURGH,OTHER,ORANGE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13771,2015,Property Damage Accident,2015-01-25,PATTERSON,OTHER,PUTNAM,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13802,2015,Property Damage & Injury Accident,2015-01-26,SEMPRONIUS,OTHER,CAYUGA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13805,2015,Injury Accident,2015-01-27,MENTZ,OTHER,CAYUGA,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13809,2015,Property Damage Accident,2015-01-30,ALFRED,OTHER,ALLEGANY,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13810,2015,Injury Accident,2015-01-25,KIRKLAND,OTHER,ONEIDA,Straight at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13820,2015,Property Damage Accident,2015-01-26,PEMBROKE,OTHER,GENESEE,Curve at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13849,2015,Property Damage & Injury Accident,2015-01-25,VAN BUREN,OTHER,ONONDAGA,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13850,2015,Property Damage Accident,2015-01-27,ONONDAGA,OTHER,ONONDAGA,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13874,2015,Property Damage Accident,2015-01-30,BAINBRIDGE,OTHER,CHENANGO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13934,2015,Property Damage & Injury Accident,2015-01-29,HARTWICK,OTHER,OTSEGO,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13974,2015,Property Damage Accident,2015-01-29,NORWICH,OTHER,CHENANGO,Straight at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13977,2015,Property Damage Accident,2015-01-30,SENECA,OTHER,ONTARIO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
13987,2015,Property Damage Accident,2015-01-29,LENOX,OTHER,MADISON,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14032,2015,Property Damage & Injury Accident,2015-01-29,CLIFTON PARK,OTHER,SARATOGA,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14060,2015,Property Damage Accident,2015-01-24,POMFRET,OTHER,CHAUTAUQUA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14075,2015,Property Damage & Injury Accident,2015-01-19,ESSEX,OTHER,ESSEX,Curve and Grade,Cloudy,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14078,2015,Property Damage Accident,2015-01-29,HURLEY,OTHER,ULSTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14092,2015,Property Damage Accident,2015-01-26,YORKTOWN,OTHER,WESTCHESTER,Curve and Grade,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14102,2015,Property Damage & Injury Accident,2015-01-31,BINGHAMTON,OTHER,BROOME,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14262,2015,Property Damage Accident,2015-01-23,CHILI,OTHER,MONROE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14264,2015,Property Damage & Injury Accident,2015-01-28,GATES,OTHER,MONROE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14272,2015,Property Damage Accident,2015-01-27,JUNIUS,OTHER,SENECA,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14299,2015,Property Damage Accident,2015-01-27,WARWICK,OTHER,ORANGE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14303,2015,Injury Accident,2015-01-30,CATO,OTHER,CAYUGA,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14304,2015,Property Damage Accident,2015-01-31,HYDE PARK,OTHER,DUTCHESS,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14373,2015,Property Damage & Injury Accident,2015-01-29,CANANDAIGUA,OTHER,ONTARIO,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14378,2015,Property Damage & Injury Accident,2015-01-30,BENTON,OTHER,YATES,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14382,2015,Property Damage Accident,2015-01-30,BARRINGTON,OTHER,YATES,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14384,2015,Injury Accident,2015-01-30,JERUSALEM,OTHER,YATES,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14386,2015,Property Damage Accident,2015-01-30,BIG FLATS,OTHER,CHEMUNG,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14395,2015,Property Damage Accident,2015-01-10,ORCHARD PARK,OTHER,ERIE,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14427,2015,Property Damage Accident,2015-01-30,HERKIMER,OTHER,HERKIMER,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14434,2015,Injury Accident,2015-01-27,COLUMBIA,OTHER,HERKIMER,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14450,2015,Property Damage & Injury Accident,2015-01-29,STEPHENTOWN,OTHER,RENSSELAER,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14460,2015,Injury Accident,2015-01-16,ELBRIDGE,OTHER,ONONDAGA,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14461,2015,Property Damage Accident,2015-01-17,ELBRIDGE,OTHER,ONONDAGA,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14462,2015,Property Damage Accident,2015-01-30,SPAFFORD,OTHER,ONONDAGA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14469,2015,Property Damage Accident,2015-01-24,SENNETT,OTHER,CAYUGA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14473,2015,Property Damage Accident,2015-01-29,MORAVIA,OTHER,CAYUGA,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14486,2015,Property Damage & Injury Accident,2015-01-30,GREENFIELD,OTHER,SARATOGA,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14497,2015,Property Damage Accident,2015-02-01,MOREAU,OTHER,SARATOGA,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14499,2015,Property Damage Accident,2015-01-30,GRANVILLE,OTHER,WASHINGTON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14500,2015,Property Damage Accident,2015-01-30,GRANVILLE,OTHER,WASHINGTON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14511,2015,Property Damage Accident,2015-01-31,ITHACA,OTHER,TOMPKINS,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14527,2015,Property Damage Accident,2015-01-30,ATHENS,OTHER,GREENE,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14532,2015,Property Damage & Injury Accident,2015-01-30,BENSON,OTHER,HAMILTON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14544,2015,Property Damage Accident,2015-01-29,RIPLEY,OTHER,CHAUTAUQUA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14551,2015,Property Damage & Injury Accident,2015-01-14,PORTVILLE,OTHER,CATTARAUGUS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14555,2015,Property Damage Accident,2015-01-27,PLATTSBURG,OTHER,CLINTON,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14832,2015,Property Damage Accident,2015-01-26,TULLY,OTHER,ONONDAGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14851,2015,Injury Accident,2015-01-26,CANANDAIGUA,OTHER,ONTARIO,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14854,2015,Property Damage & Injury Accident,2015-01-23,JERUSALEM,OTHER,YATES,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14902,2015,Property Damage & Injury Accident,2015-01-25,PARIS,OTHER,ONEIDA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14907,2015,Property Damage Accident,2015-01-29,ROME,OTHER,ONEIDA,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14915,2015,Property Damage & Injury Accident,2015-01-28,MALONE,OTHER,FRANKLIN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14947,2015,Property Damage Accident,2015-01-23,PIERREPONT,OTHER,ST. LAWRENCE,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14953,2015,Property Damage Accident,2015-01-18,FAYETTE,OTHER,SENECA,Straight at Hill Crest,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14976,2015,Injury Accident,2015-01-28,SCHROON,OTHER,ESSEX,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14986,2015,Property Damage Accident,2015-01-28,MOHAWK,OTHER,MONTGOMERY,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14989,2015,Property Damage Accident,2015-01-15,NEW HUDSON,OTHER,ALLEGANY,Straight at Hill Crest,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
14994,2015,Property Damage Accident,2015-01-24,ELMA,OTHER,ERIE,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15012,2015,Property Damage Accident,2015-01-29,BARKER,OTHER,BROOME,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15160,2015,Property Damage & Injury Accident,2015-01-26,OVID,OTHER,SENECA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15174,2015,Property Damage & Injury Accident,2015-01-31,WARWICK,OTHER,ORANGE,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15177,2015,Property Damage Accident,2015-01-25,WARWICK,OTHER,ORANGE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15182,2015,Property Damage & Injury Accident,2015-01-30,THROOP,OTHER,CAYUGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15195,2015,Injury Accident,2015-01-27,LA GRANGE,OTHER,DUTCHESS,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15202,2015,Property Damage Accident,2015-01-25,BETHANY,OTHER,GENESEE,Straight and Grade,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15203,2015,Property Damage Accident,2015-01-29,LEROY,OTHER,GENESEE,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15212,2015,Property Damage & Injury Accident,2015-01-24,LYSANDER,OTHER,ONONDAGA,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15216,2015,Property Damage Accident,2015-01-24,MARCELLUS,OTHER,ONONDAGA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15218,2015,Property Damage Accident,2015-01-24,MARCELLUS,OTHER,ONONDAGA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15242,2015,Property Damage Accident,2015-01-26,GREENE,OTHER,CHENANGO,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15246,2015,Property Damage & Injury Accident,2015-01-03,SHERBURNE,OTHER,CHENANGO,Curve and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15278,2015,Property Damage Accident,2015-01-30,LEWISBORO,OTHER,WESTCHESTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15279,2015,Property Damage Accident,2015-01-31,GREENE,OTHER,CHENANGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15280,2015,Property Damage & Injury Accident,2015-01-30,GUILFORD,OTHER,CHENANGO,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15285,2015,Property Damage & Injury Accident,2015-01-12,WAYLAND,OTHER,STEUBEN,Curve and Level,Cloudy,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15286,2015,Property Damage & Injury Accident,2015-01-16,DANSVILLE,OTHER,STEUBEN,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15289,2015,Injury Accident,2015-01-26,WAYLAND,OTHER,STEUBEN,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15290,2015,Property Damage Accident,2015-01-26,DANSVILLE,OTHER,STEUBEN,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15301,2015,Property Damage Accident,2015-01-31,DUANESBURG,OTHER,SCHENECTADY,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15302,2015,Property Damage Accident,2015-01-30,PRINCETOWN,OTHER,SCHENECTADY,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15306,2015,Property Damage & Injury Accident,2015-01-18,SEWARD,OTHER,SCHOHARIE,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
